galaxy,snapshot,time_Myr,ptype,xcom,ycom,zcom,vxcom,vycom,vzcom
M33,179,2557.14285,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,180,2571.42857,1,-14.604661363636364,418.2284772727273,-28.26794090909091,122.16440754529913,-178.8648652478632,45.91995681880341
M33,180,2571.42857,2,-14.341447415174994,418.4331604328079,-28.14541681806038,117.83870847922425,-179.9726147774416,45.5551675525875
M33,180,2571.42857,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,181,2585.71427,1,-12.809857034482759,415.56961379310343,-27.55194896551724,120.66398650254668,-178.31660183361632,43.858095442275044
M33,181,2585.71427,2,-12.66650108045977,415.8539601081812,-27.52491752535497,115.98414506963144,-180.3298846416297,45.27736172620771
M33,181,2585.71427,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,182,2599.99999,1,-11.193090681818182,413.0808409090909,-26.875738636363636,119.17884859556315,-177.30349709897612,43.57398711433448
M33,182,2599.99999,2,-11.033301285223368,413.28262872852235,-26.888005127147768,113.07904208050137,-180.92335800842872,45.11046167060296
M33,182,2599.99999,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,183,2614.28571,1,-9.5469138,410.64788,-26.253444,117.20080121247892,-179.26853101180438,43.25749118330523
M33,183,2614.28571,2,-9.413969976379047,410.69251368625817,-26.210645199388633,112.98994514815291,-182.42376742276946,46.204145585698846
M33,183,2614.28571,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,184,2628.57141,1,-7.8138718,408.1521,-25.376946666666665,116.86380657770272,-179.78957567567568,42.22167977010135
M33,184,2628.57141,2,-7.792787759388039,408.09123254520165,-25.560614659248955,111.97739551464518,-183.7794891705367,43.772434435457384
M33,184,2628.57141,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,185,2642.85713,1,0.0,0.0,0.0,0.0,0.0,0.0
M33,185,2642.85713,2,-6.206233361654866,405.4618320144384,-24.929548035540748,109.8371972256775,-185.19932140263666,43.78878622755565
M33,185,2642.85713,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,186,2657.14286,1,0.0,0.0,0.0,0.0,0.0,0.0
M33,186,2657.14286,2,-4.649431545843148,402.8141932936123,-24.286644312041016,108.3700485840601,-186.94215095557232,43.158893240893626
M33,186,2657.14286,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,187,2671.42856,1,-2.7187912174825173,400.11505594405594,-23.518567832167832,110.11109797746968,-183.6179624610052,36.985954533622184
M33,187,2671.42856,2,-3.1099863313800222,400.128159466153,-23.679827545404514,106.8237109956982,-187.41622079334192,42.0076884429961
M33,187,2671.42856,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,188,2685.71428,1,-1.2479681065217392,397.47671739130436,-23.143752173913043,106.93521579616724,-185.63996533101047,36.14405910679442
M33,188,2685.71428,2,-1.5841186849805853,397.44090032813784,-23.08864823625923,106.13239759772335,-187.46855723500803,41.827019647057796
M33,188,2685.71428,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,189,2699.99998,1,-0.222868,394.8,-22.4513,104.69333734434326,-184.8360452539404,35.57776729754816
M33,189,2699.99998,2,-0.07090913296806425,394.75903797985296,-22.509720677919958,104.29274389137053,-187.51780597040712,39.12140366337617
M33,189,2699.99998,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,190,2714.2857,1,1.8122177939849624,392.3083759398496,-22.18935789473684,101.00544483737025,-186.54893934256054,35.30059908581315
M33,190,2714.2857,2,1.392331704607167,392.08677969322656,-21.97640251119859,102.99993876018355,-186.63345309611228,37.940202950961115
M33,190,2714.2857,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,191,2728.57142,1,3.172302890410959,389.74212328767123,-21.62071575342466,99.06699449574104,-188.0941296422487,35.6074351834753
M33,191,2728.57142,2,2.857983376042999,389.4247692203021,-21.473658334467274,102.66857901569604,-186.8588596014688,35.935333353327344
M33,191,2728.57142,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,192,2742.85712,1,4.449423333333334,387.03675,-21.204175,98.3112614450172,-188.8230085910653,35.75283757044674
M33,192,2742.85712,2,4.309441906184932,386.78291592739185,-20.952105309130612,100.3868393769488,-186.37834424152445,36.32455308101921
M33,192,2742.85712,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,193,2757.14285,1,5.839839078947368,384.52685526315787,-20.441417763157894,96.13931568202055,-190.26439176369865,35.09779137328767
M33,193,2757.14285,2,5.742937054984232,384.1171116138763,-20.45660275606746,99.6682543511497,-188.03248933952275,34.78207346604771
M33,193,2757.14285,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,194,2771.42857,1,7.137483961038961,381.8198441558442,-19.726394805194804,95.35373619033957,-192.3737572156197,35.06625338539898
M33,194,2771.42857,2,7.163177151916184,381.43701805900196,-19.958803873724843,98.34720065389762,-188.3469367620384,34.57651441931548
M33,194,2771.42857,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,195,2785.71427,1,8.408044074074073,378.9641234567901,-18.976174074074073,92.67253033106961,-195.01958607809848,33.981004548387105
M33,195,2785.71427,2,8.575174618278071,378.74168542769576,-19.4569250487601,98.370199972807,-189.8442454489531,33.83709913792682
M33,195,2785.71427,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,196,2799.99999,1,9.577094820448877,376.0334089775561,-18.71198319201995,93.16743505723906,-196.51201212121214,31.898721434343443
M33,196,2799.99999,2,9.962341206362613,376.0238643018018,-18.970103631756757,95.33527479482461,-191.28995875687917,35.21876893884751
M33,196,2799.99999,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,197,2814.28571,1,11.044901764705882,373.1532549019608,-18.33433487745098,91.3581620016892,-197.01355653716217,30.01886058952703
M33,197,2814.28571,2,11.303372271262436,373.2929809443744,-18.473176614824155,93.74589560848077,-193.18244320996973,32.822971235930076
M33,197,2814.28571,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,198,2828.57141,1,12.44722826923077,370.3585192307692,-17.610715384615386,90.93001744966445,-196.458142114094,26.828790058724838
M33,198,2828.57141,2,12.611619324399777,370.5201320491346,-17.981854606365157,91.74726975959213,-194.47900010034525,33.0219009921504
M33,198,2828.57141,3,0.0,0.0,0.0,0.0,0.0,0.0
M33,199,2842.85714,1,14.092353846153847,367.876,-17.367069230769232,89.4218380976431,-196.54536447811446,25.9649907996633
M33,199,2842.85714,2,13.92909942450063,367.7116438050007,-17.520811482050565,90.2582562650631,-196.52452173772255,31.719189822665935
M33,199,2842.85714,3,0.0,0.0,0.0,0.0,0.0,0.0
