snapshot,time_Myr,bin_index,r_mid,sigma_rad,sigma_tan,sigma_z
491,7014.28571,9,9.5,109.45519575470405,183.67805228677804,38.54777186398762
491,7014.28571,10,10.5,110.01308204762962,181.9768085692607,40.886481383921314
491,7014.28571,11,11.5,118.52399410281491,178.556641365378,37.99810682064067
491,7014.28571,12,12.5,125.0089705255143,166.04358344004194,38.879988961447864
491,7014.28571,13,13.5,102.37826552108136,178.3567410312826,37.87806197287229
491,7014.28571,14,14.5,113.92185218584348,172.80058619494187,35.93288138238883
491,7014.28571,15,15.5,117.38761415671148,179.1544666043947,33.465147500407305
491,7014.28571,16,16.5,117.93310499553571,171.8089138686458,33.97187648830813
491,7014.28571,17,17.5,108.91264164263805,165.35996986891533,34.40708736087691
491,7014.28571,18,18.5,127.10657556972313,155.8598072797899,35.48142882401867
491,7014.28571,19,19.5,117.12637750341037,147.02143044839409,38.09816683319466
492,7028.57141,0,0.5,144.97588565086775,170.30169813742785,64.93422651196074
492,7028.57141,1,1.5,130.51300222239922,173.55334435676843,59.90530664351112
492,7028.57141,2,2.5,127.33218233890108,173.28203854670076,60.85113526859246
492,7028.57141,3,3.5,120.95595847538925,178.12867878378688,62.568372655453416
492,7028.57141,4,4.5,124.98596558030563,173.5146065286368,57.32906353771737
492,7028.57141,5,5.5,118.65215883206024,178.35048393276057,53.35740334249786
492,7028.57141,6,6.5,117.222352377808,172.83481097329914,45.31353819287144
492,7028.57141,7,7.5,115.66310136622187,175.15610220698585,45.60397688591164
492,7028.57141,8,8.5,130.64281869979226,166.73429960225118,37.92550812506427
492,7028.57141,9,9.5,105.01900467868475,179.35903812797528,38.38702534140354
492,7028.57141,10,10.5,111.18254602257335,175.42074114158845,40.530665770820654
492,7028.57141,11,11.5,121.93136012959253,169.4063877999185,37.687233202529995
492,7028.57141,12,12.5,110.82414607169783,172.34261901809256,38.53044610247519
492,7028.57141,13,13.5,121.42401417514407,166.13880905421343,38.23621741884907
492,7028.57141,14,14.5,112.29260700839056,173.17551391262649,33.377297373731274
492,7028.57141,15,15.5,113.50977972817908,170.67482914193283,35.56394484399368
492,7028.57141,16,16.5,96.45178881868142,176.70320453639457,29.625099229801297
492,7028.57141,17,17.5,118.73538887621135,150.66245907137414,37.933148076530664
492,7028.57141,18,18.5,128.649587392245,160.0776876913121,34.28089914329639
492,7028.57141,19,19.5,103.8432435276151,156.86308812239756,34.91435381148109
493,7042.85713,0,0.5,147.6176606642255,168.86320135439706,65.97444622050993
493,7042.85713,1,1.5,130.4242352954679,168.49685564881457,60.43855827101258
493,7042.85713,2,2.5,127.71267059584575,167.5593043790438,61.15906218957269
493,7042.85713,3,3.5,123.06845806808595,173.21832618160946,63.827685762787205
493,7042.85713,4,4.5,119.613135582701,169.79251266799446,55.99714238887702
