# snap  time[Myr]  R_bin(kpc)  warp[deg]  h_z[kpc]
102    1457.14   31.50     nan      nan
103    1471.43    1.67  115.75    0.379
103    1471.43    5.01  112.72    0.557
103    1471.43    8.34  110.60    0.729
103    1471.43   11.68  107.86    1.592
103    1471.43   15.02  101.62    3.379
103    1471.43   18.35     nan      nan
103    1471.43   21.69     nan      nan
103    1471.43   25.03     nan      nan
103    1471.43   28.36     nan      nan
103    1471.43   31.70     nan      nan
104    1485.71    1.68  115.62    0.391
104    1485.71    5.03  112.73    0.559
104    1485.71    8.38  110.45    0.735
104    1485.71   11.73  107.36    1.657
104    1485.71   15.08  101.29    3.489
104    1485.71   18.43     nan      nan
104    1485.71   21.79     nan      nan
104    1485.71   25.14     nan      nan
104    1485.71   28.49     nan      nan
104    1485.71   31.84     nan      nan
105    1500.00    1.68  115.60    0.389
105    1500.00    5.05  112.71    0.555
105    1500.00    8.42  110.46    0.748
105    1500.00   11.79  106.94    1.571
105    1500.00   15.16  100.63    3.630
105    1500.00   18.52     nan      nan
105    1500.00   21.89     nan      nan
105    1500.00   25.26     nan      nan
105    1500.00   28.63     nan      nan
105    1500.00   32.00     nan      nan
106    1514.29    1.69  115.45    0.386
106    1514.29    5.08  112.78    0.567
106    1514.29    8.46  110.48    0.745
106    1514.29   11.85  107.14    1.494
106    1514.29   15.24  100.25    3.685
106    1514.29   18.62     nan      nan
106    1514.29   22.01     nan      nan
106    1514.29   25.39     nan      nan
106    1514.29   28.78     nan      nan
106    1514.29   32.17     nan      nan
107    1528.57    1.70  114.97    0.389
107    1528.57    5.11  113.05    0.554
107    1528.57    8.51  110.62    0.761
107    1528.57   11.92  107.22    1.474
107    1528.57   15.33  100.01    3.725
107    1528.57   18.73     nan      nan
107    1528.57   22.14     nan      nan
107    1528.57   25.54     nan      nan
107    1528.57   28.95     nan      nan
107    1528.57   32.36     nan      nan
108    1542.86    1.71  114.70    0.396
108    1542.86    5.14  113.28    0.555
108    1542.86    8.56  110.71    0.777
108    1542.86   11.99  107.35    1.301
108    1542.86   15.42   99.39    3.971
108    1542.86   18.84     nan      nan
108    1542.86   22.27     nan      nan
108    1542.86   25.69     nan      nan
108    1542.86   29.12     nan      nan
108    1542.86   32.55     nan      nan
109    1557.14    1.72  114.64    0.398
109    1557.14    5.16  113.24    0.570
109    1557.14    8.61  110.78    0.765
109    1557.14   12.05  107.70    1.289
109    1557.14   15.49   98.11    4.180
109    1557.14   18.93     nan      nan
109    1557.14   22.37     nan      nan
109    1557.14   25.82     nan      nan
109    1557.14   29.26     nan      nan
109    1557.14   32.70     nan      nan
110    1571.43    1.73  114.36    0.395
110    1571.43    5.19  113.33    0.577
110    1571.43    8.65  110.65    0.767
110    1571.43   12.10  107.47    1.277
110    1571.43   15.56   97.44    4.152
110    1571.43   19.02     nan      nan
110    1571.43   22.48     nan      nan
110    1571.43   25.94     nan      nan
110    1571.43   29.40     nan      nan
110    1571.43   32.85     nan      nan
111    1585.71    1.74  114.12    0.389
111    1585.71    5.21  113.25    0.571
111    1585.71    8.69  110.65    0.815
111    1585.71   12.16  107.64    1.248
111    1585.71   15.63   97.32    4.180
111    1585.71   19.11     nan      nan
111    1585.71   22.58     nan      nan
111    1585.71   26.06     nan      nan
111    1585.71   29.53     nan      nan
111    1585.71   33.01     nan      nan
112    1600.00    1.75  113.99    0.387
112    1600.00    5.24  113.19    0.575
112    1600.00    8.73  111.16    0.794
112    1600.00   12.22  107.62    1.319
112    1600.00   15.71   96.12    4.127
